,Country,Year,Annual Tree Cover Loss,Forest Cover
2,Gabon,2003,0.067561889,3206475.44
3,Gabon,2004,0.04084859,3205165.64
4,Gabon,2005,0.071946672,3202859.63
5,Gabon,2006,0.079806807,3200303.53
6,Gabon,2007,0.068440071,3198113.24
7,Gabon,2008,0.070546595,3195857.08
8,Gabon,2009,0.074661036,3193471.02
9,Gabon,2010,0.043448649,3192083.5
10,Gabon,2011,0.074777179,3189696.55
11,Gabon,2012,0.073073095,3187365.74
12,Gabon,2013,0.187661865,3181384.27
13,Gabon,2014,0.199283691,3175044.29
14,Gabon,2015,0.104326104,3171731.89
15,Gabon,2016,0.131063411,3167574.91
16,Gabon,2017,0.157944489,3162571.9
17,Gabon,2018,0.111385926,3159049.24
18,Gabon,2019,0.116288469,3155375.63
19,Gabon,2020,0.090735314,3152512.59
20,Gabon,2021,0.076255366,3150108.63
0,Congo,2001,0.101082843,3604907.37
1,Congo,2002,0.090643383,3601639.76
2,Congo,2003,0.070684471,3599093.96
3,Congo,2004,0.052008645,3597222.12
4,Congo,2005,0.071072342,3594665.49
5,Congo,2006,0.084443184,3591630.04
6,Congo,2007,0.113509742,3587553.19
7,Congo,2008,0.068887341,3585081.82
8,Congo,2009,0.075784323,3582364.89
9,Congo,2010,0.176007754,3576059.65
10,Congo,2011,0.111569448,3572069.86
11,Congo,2012,0.127966702,3567498.8
12,Congo,2013,0.222201616,3559571.76
13,Congo,2014,0.287767481,3549328.47
14,Congo,2015,0.186292141,3542716.35
15,Congo,2016,0.429947489,3527484.53
16,Congo,2017,0.247197115,3518764.69
17,Congo,2018,0.236315319,3510449.31
18,Congo,2019,0.280547848,3500600.82
19,Congo,2020,0.249678568,3491860.57
20,Congo,2021,0.223575937,3484053.61
0,Peru,2001,0.110768827,10268581
1,Peru,2002,0.103705176,10257931.95
2,Peru,2003,0.095383261,10248147.6
3,Peru,2004,0.130533737,10234770.31
4,Peru,2005,0.210203252,10213256.49
5,Peru,2006,0.114907229,10201520.72
6,Peru,2007,0.149144725,10186305.69
7,Peru,2008,0.163748375,10169625.78
8,Peru,2009,0.230665321,10146167.98
9,Peru,2010,0.184992502,10127398.33
10,Peru,2011,0.163631561,10110826.71
11,Peru,2012,0.361541356,10074271.89
12,Peru,2013,0.280037508,10046060.15
13,Peru,2014,0.276749687,10018257.71
14,Peru,2015,0.22387775,9995829.06
15,Peru,2016,0.312642901,9964577.81
16,Peru,2017,0.41644514,9923080.81
17,Peru,2018,0.288313484,9894471.23
18,Peru,2019,0.315988892,9863205.8
19,Peru,2020,0.382128395,9825515.69
20,Peru,2021,0.312270327,9794833.52
0,Colombia,2001,0.276901218,10965754.38
1,Colombia,2002,0.219304292,10941706.01
2,Colombia,2003,0.149171162,10925384.14
3,Colombia,2004,0.307252354,10891815.64
4,Colombia,2005,0.229117356,10866860.6
5,Colombia,2006,0.231624946,10841690.24
6,Colombia,2007,0.328281654,10806098.96
7,Colombia,2008,0.283809635,10775430.21
8,Colombia,2009,0.2928929,10743869.74
9,Colombia,2010,0.242194578,10717848.67
10,Colombia,2011,0.23396365,10692772.8
11,Colombia,2012,0.288216355,10661954.48
12,Colombia,2013,0.183970303,10642339.65
13,Colombia,2014,0.271324361,10613464.39
14,Colombia,2015,0.186719711,10593646.96
15,Colombia,2016,0.385481979,10552810.36
16,Colombia,2017,0.56341835,10493353.89
17,Colombia,2018,0.468105532,10444233.92
18,Colombia,2019,0.365136785,10406098.18
19,Colombia,2020,0.438209012,10360497.72
20,Colombia,2021,0.363913405,10322794.48
0,Congo DRC,2001,0.224772173,26846534.52
1,Congo DRC,2002,0.255540468,26777930.76
2,Congo DRC,2003,0.138645926,26740804.25
3,Congo DRC,2004,0.199511576,26687453.25
4,Congo DRC,2005,0.243877523,26622368.55
5,Congo DRC,2006,0.226617628,26562037.57
6,Congo DRC,2007,0.234584338,26499727.19
7,Congo DRC,2008,0.204016817,26445663.29
8,Congo DRC,2009,0.323170832,26360198.62
9,Congo DRC,2010,0.415776382,26250599.14
10,Congo DRC,2011,0.217944168,26193387.49
11,Congo DRC,2012,0.323273994,26108711.08
12,Congo DRC,2013,0.475272983,25984623.43
13,Congo DRC,2014,0.692390022,25804708.49
14,Congo DRC,2015,0.480705101,25680663.94
15,Congo DRC,2016,0.716695139,25496611.87
16,Congo DRC,2017,0.766447758,25301193.66
17,Congo DRC,2018,0.718887624,25119306.51
18,Congo DRC,2019,0.640969089,24958299.52
19,Congo DRC,2020,0.697155028,24784301.48
20,Congo DRC,2021,0.667653636,24618828.19
0,Nigeria,2001,0.803213236,1377662.83
1,Nigeria,2002,0.675629755,1368354.93
2,Nigeria,2003,0.434510073,1362409.29
3,Nigeria,2004,0.387084853,1357135.61
4,Nigeria,2005,0.507606605,1350246.7
5,Nigeria,2006,0.58842136,1342301.56
6,Nigeria,2007,1.16929984,1326606.03
7,Nigeria,2008,0.867163253,1315102.19
8,Nigeria,2009,0.954872564,1302544.64
9,Nigeria,2010,0.662867877,1293910.49
10,Nigeria,2011,1.651063205,1272547.21
11,Nigeria,2012,1.773157005,1249982.95
12,Nigeria,2013,1.93404478,1225807.72
13,Nigeria,2014,2.270000388,1197981.88
14,Nigeria,2015,1.456625538,1180531.77
15,Nigeria,2016,1.693136136,1160543.76
16,Nigeria,2017,4.729327053,1105657.85
17,Nigeria,2018,3.37179083,1068377.38
18,Nigeria,2019,2.768094922,1038803.68
19,Nigeria,2020,3.214021152,1005416.31
20,Nigeria,2021,3.741751514,967796.13
0,Cameroon,2001,0.127760137,4282760.34
1,Cameroon,2002,0.099896087,4278482.03
2,Cameroon,2003,0.080692638,4275029.61
3,Cameroon,2004,0.07616111,4271773.7
4,Cameroon,2005,0.083344069,4268213.43
5,Cameroon,2006,0.139794087,4262246.72
6,Cameroon,2007,0.177174868,4254695.09
7,Cameroon,2008,0.137843015,4248830.29
8,Cameroon,2009,0.12460653,4243535.97
9,Cameroon,2010,0.220912467,4234161.47
10,Cameroon,2011,0.098284159,4229999.96
11,Cameroon,2012,0.177736172,4222481.72
12,Cameroon,2013,0.306059821,4209558.4
13,Cameroon,2014,0.604950153,4184092.67
14,Cameroon,2015,0.260932796,4173175
15,Cameroon,2016,0.375750598,4157494.27
16,Cameroon,2017,0.612645703,4132023.56
17,Cameroon,2018,0.403951714,4115332.18
18,Cameroon,2019,0.408021741,4098540.73
19,Cameroon,2020,0.669652977,4071094.73
20,Cameroon,2021,0.562511106,4048194.37
0,Central African Republic,2001,0.06657741,6464659.13
1,Central African Republic,2002,0.07527342,6459792.96
2,Central African Republic,2003,0.028940092,6457923.49
3,Central African Republic,2004,0.03263882,6455815.7
4,Central African Republic,2005,0.063500728,6451716.21
5,Central African Republic,2006,0.131311727,6443244.35
6,Central African Republic,2007,0.084558333,6437796.05
7,Central African Republic,2008,0.073547375,6433061.22
8,Central African Republic,2009,0.105468295,6426276.38
9,Central African Republic,2010,0.103805215,6419605.57
10,Central African Republic,2011,0.105024521,6412863.41
11,Central African Republic,2012,0.124826298,6404858.47
12,Central African Republic,2013,0.112320671,6397664.49
13,Central African Republic,2014,0.144973686,6388389.56
14,Central African Republic,2015,0.070513702,6383884.87
15,Central African Republic,2016,0.114234516,6376592.27
16,Central African Republic,2017,0.158121448,6366509.51
17,Central African Republic,2018,0.11034131,6359484.62
18,Central African Republic,2019,0.132990337,6351027.12
19,Central African Republic,2020,0.135792681,6342402.89
20,Central African Republic,2021,0.160745071,6332207.79
0,Papua New Guinea,2001,0.07938664,5484034.95
1,Papua New Guinea,2002,0.123050273,5477286.83
2,Papua New Guinea,2003,0.069953795,5473455.26
3,Papua New Guinea,2004,0.132924993,5466179.67
4,Papua New Guinea,2005,0.08682993,5461433.39
5,Papua New Guinea,2006,0.127275378,5454482.33
6,Papua New Guinea,2007,0.110519746,5448454.05
7,Papua New Guinea,2008,0.16151187,5439654.15
8,Papua New Guinea,2009,0.111515729,5433588.08
9,Papua New Guinea,2010,0.153175395,5425265.16
10,Papua New Guinea,2011,0.119220717,5418797.12
11,Papua New Guinea,2012,0.162286939,5410003.12
12,Papua New Guinea,2013,0.132973676,5402809.24
13,Papua New Guinea,2014,0.246404591,5389496.47
14,Papua New Guinea,2015,0.422757676,5366711.96
15,Papua New Guinea,2016,0.420509805,5344144.41
16,Papua New Guinea,2017,0.279481781,5329208.5
17,Papua New Guinea,2018,0.280124337,5314280.09
18,Papua New Guinea,2019,0.226451557,5302245.82
19,Papua New Guinea,2020,0.187135609,5292323.43
20,Papua New Guinea,2021,0.18292684,5282642.35
0,Thailand,2001,0.200638781,2682850.34
1,Thailand,2002,0.342215511,2673669.21
2,Thailand,2003,0.331180834,2664814.53
3,Thailand,2004,0.514606921,2651101.21
4,Thailand,2005,0.446224382,2639271.35
5,Thailand,2006,0.584129783,2623854.58
6,Thailand,2007,0.531045817,2609920.71
7,Thailand,2008,0.445166397,2598302.22
8,Thailand,2009,0.761754728,2578509.53
9,Thailand,2010,0.777080704,2558472.43
10,Thailand,2011,0.581833903,2543586.37
11,Thailand,2012,0.838629278,2522255.11
12,Thailand,2013,0.794117927,2502225.43
13,Thailand,2014,1.124907839,2474077.7
14,Thailand,2015,0.916857219,2451393.94
15,Thailand,2016,1.350547925,2418286.69
16,Thailand,2017,1.50093081,2381989.88
17,Thailand,2018,1.093968124,2355931.67
18,Thailand,2019,1.187315844,2327959.32
19,Thailand,2020,1.145483075,2301292.94
20,Thailand,2021,1.182278428,2274085.25
0,Kenya,2001,0.687782722,432502.72
1,Kenya,2002,0.747475068,429269.87
2,Kenya,2003,0.663042109,426423.63
3,Kenya,2004,0.674835961,423545.97
4,Kenya,2005,0.807307882,420126.65
5,Kenya,2006,0.895572799,416364.11
6,Kenya,2007,1.010207148,412157.97
7,Kenya,2008,0.841165343,408691.04
8,Kenya,2009,0.952328194,404798.96
9,Kenya,2010,0.852551597,401347.84
10,Kenya,2011,0.746479662,398351.86
11,Kenya,2012,0.888076687,394814.19
12,Kenya,2013,0.869312727,391382.02
13,Kenya,2014,1.026620998,387364.01
14,Kenya,2015,0.707350174,384623.99
15,Kenya,2016,1.008600634,380744.67
16,Kenya,2017,1.199977402,376175.82
17,Kenya,2018,0.852271685,372969.78
18,Kenya,2019,0.845800429,369815.2
19,Kenya,2020,1.02910048,366009.43
20,Kenya,2021,0.721150818,363369.95
0,Zimbabwe,2001,1.741775782,151433.61
1,Zimbabwe,2002,2.2420254,148038.43
2,Zimbabwe,2003,2.090301822,144943.98
3,Zimbabwe,2004,2.951305739,140666.24
4,Zimbabwe,2005,3.711117892,135445.95
5,Zimbabwe,2006,3.536082105,130656.47
6,Zimbabwe,2007,4.865530195,124299.34
7,Zimbabwe,2008,2.695404497,120948.97
8,Zimbabwe,2009,7.895247062,111399.75
9,Zimbabwe,2010,3.453275254,107552.81
10,Zimbabwe,2011,2.456542047,104910.73
11,Zimbabwe,2012,4.781589071,99894.33
12,Zimbabwe,2013,3.587941378,96310.18
13,Zimbabwe,2014,3.717727451,92729.63
14,Zimbabwe,2015,4.06408394,88961.02
15,Zimbabwe,2016,3.871538343,85516.86
16,Zimbabwe,2017,10.84393183,76243.47
17,Zimbabwe,2018,3.936769929,73241.94
18,Zimbabwe,2019,5.079029856,69521.96
19,Zimbabwe,2020,3.477347301,67104.44
20,Zimbabwe,2021,6.736856756,62583.71
0,Malaysia,2001,1.114825879,3913299.68
1,Malaysia,2002,1.05067803,3872183.5
2,Malaysia,2003,0.621346328,3848123.83
3,Malaysia,2004,1.196023362,3802099.37
4,Malaysia,2005,1.290667214,3753026.92
5,Malaysia,2006,1.16118405,3709447.37
6,Malaysia,2007,1.422412687,3656683.72
7,Malaysia,2008,1.309194988,3608810.6
8,Malaysia,2009,2.245776212,3527764.79
9,Malaysia,2010,1.581386609,3471977.19
10,Malaysia,2011,1.730895588,3411880.89
11,Malaysia,2012,2.415110394,3329480.2
12,Malaysia,2013,1.350014336,3284531.74
13,Malaysia,2014,2.687141638,3196271.72
14,Malaysia,2015,1.939935194,3134266.12
15,Malaysia,2016,2.504712969,3055761.75
16,Malaysia,2017,2.205113013,2988378.75
17,Malaysia,2018,2.059036191,2926846.95
18,Malaysia,2019,1.930464796,2870345.2
19,Malaysia,2020,1.39953515,2830173.71
20,Malaysia,2021,1.462066086,2788794.7
0,Paraguay,2001,0.685945879,3441173.38
1,Paraguay,2002,0.880156175,3410885.68
2,Paraguay,2003,1.176188057,3370767.25
3,Paraguay,2004,1.10503091,3333519.23
4,Paraguay,2005,1.181613403,3294129.92
5,Paraguay,2006,0.664318668,3272246.4
6,Paraguay,2007,1.913186611,3209642.22
7,Paraguay,2008,1.6911293,3155363.02
8,Paraguay,2009,1.607159927,3104651.29
9,Paraguay,2010,2.017830801,3042004.68
10,Paraguay,2011,2.135396452,2977045.82
11,Paraguay,2012,2.455884942,2903933
12,Paraguay,2013,1.590732982,2857739.18
13,Paraguay,2014,1.765852894,2807275.71
14,Paraguay,2015,1.462013149,2766232.97
15,Paraguay,2016,1.7719509,2717216.68
16,Paraguay,2017,2.064741116,2661113.19
17,Paraguay,2018,1.452242623,2622467.37
18,Paraguay,2019,1.765283737,2576173.38
19,Paraguay,2020,1.483972325,2537943.68
20,Paraguay,2021,1.704825065,2494676.18
0,Honduras,2001,0.532778652,1085262.98
1,Honduras,2002,0.394017863,1080986.85
2,Honduras,2003,0.426995018,1076371.09
3,Honduras,2004,0.335126987,1072763.88
4,Honduras,2005,0.512968427,1067260.94
5,Honduras,2006,0.533550867,1061566.56
6,Honduras,2007,0.539931288,1055834.83
7,Honduras,2008,0.567372834,1049844.31
8,Honduras,2009,0.664529963,1042867.78
9,Honduras,2010,0.600241001,1036608.06
10,Honduras,2011,0.686113708,1029495.75
11,Honduras,2012,0.431739519,1025051.01
12,Honduras,2013,0.597263935,1018928.75
13,Honduras,2014,0.796902629,1010808.88
14,Honduras,2015,0.705065037,1003682.02
15,Honduras,2016,2.628590477,977299.33
16,Honduras,2017,1.648573728,961187.83
17,Honduras,2018,1.128527605,950340.56
18,Honduras,2019,1.235954824,938594.78
19,Honduras,2020,1.408697372,925372.82
20,Honduras,2021,1.091601113,915271.44
0,Zambia,2001,0.166372876,3403213.54
1,Zambia,2002,0.25688103,3394471.33
2,Zambia,2003,0.274607416,3385149.86
3,Zambia,2004,0.22131546,3377658
4,Zambia,2005,0.456936137,3362224.26
5,Zambia,2006,0.317000568,3351565.99
6,Zambia,2007,0.358424093,3339553.17
7,Zambia,2008,0.556728971,3320960.91
8,Zambia,2009,0.813597351,3293941.66
9,Zambia,2010,0.970442203,3261975.86
10,Zambia,2011,0.34625854,3250680.99
11,Zambia,2012,0.681370767,3228531.8
12,Zambia,2013,0.654254358,3207408.99
13,Zambia,2014,0.965273219,3176448.73
14,Zambia,2015,0.707012828,3153990.83
15,Zambia,2016,1.112760052,3118894.48
16,Zambia,2017,1.603288932,3068889.59
17,Zambia,2018,1.352421414,3027385.27
18,Zambia,2019,1.151418366,2992527.4
19,Zambia,2020,1.537859269,2946506.54
20,Zambia,2021,1.878902329,2891144.56
