,Country,Year,Annual Tree Cover Loss
19,Congo,2020,0.24967856803507235
20,Congo,2021,0.22357593734047634
0,Peru,2001,0.11076882729596045
1,Peru,2002,0.10370517601214813
2,Peru,2003,0.09538326095056616
3,Peru,2004,0.13053373665305135
4,Peru,2005,0.2102032517425396
5,Peru,2006,0.11490722877165302
6,Peru,2007,0.149144724768054
7,Peru,2008,0.1637483746082236
8,Peru,2009,0.2306653214922919
9,Peru,2010,0.18499250196723038
10,Peru,2011,0.16363156123632
11,Peru,2012,0.3615413560974778
12,Peru,2013,0.2800375084973014
13,Peru,2014,0.27674968679139356
14,Peru,2015,0.22387775049559988
15,Peru,2016,0.31264290147834917
16,Peru,2017,0.41644513988696524
17,Peru,2018,0.2883134839652686
18,Peru,2019,0.3159888919096892
19,Peru,2020,0.3821283948064837
20,Peru,2021,0.3122703272585176
0,Colombia,2001,0.27690121762939446
1,Colombia,2002,0.2193042919496798
2,Colombia,2003,0.14917116202064726
3,Colombia,2004,0.3072523544238509
4,Colombia,2005,0.2291173558644626
5,Colombia,2006,0.23162494603087108
6,Colombia,2007,0.3282816536178771
7,Colombia,2008,0.283809634850873
8,Colombia,2009,0.29289289972581045
9,Colombia,2010,0.24219457820790732
10,Colombia,2011,0.23396365046829862
11,Colombia,2012,0.28821635488224334
12,Colombia,2013,0.18397030335098555
13,Colombia,2014,0.2713243605225472
14,Colombia,2015,0.18671971065990445
15,Colombia,2016,0.38548197947498886
16,Colombia,2017,0.563418349915273
17,Colombia,2018,0.4681055315099068
18,Colombia,2019,0.36513678544649053
19,Colombia,2020,0.43820901178543353
20,Colombia,2021,0.36391340473167916
0,Congo DRC,2001,0.22477217278736317
1,Congo DRC,2002,0.2555404681706382
2,Congo DRC,2003,0.13864592575412277
3,Congo DRC,2004,0.19951157602150282
4,Congo DRC,2005,0.24387752323275735
5,Congo DRC,2006,0.22661762752886241
6,Congo DRC,2007,0.23458433802674578
7,Congo DRC,2008,0.20401681727652535
8,Congo DRC,2009,0.32317083168913024
9,Congo DRC,2010,0.4157763815817561
10,Congo DRC,2011,0.2179441684164166
11,Congo DRC,2012,0.3232739943710122
12,Congo DRC,2013,0.4752729831043042
13,Congo DRC,2014,0.6923900224479798
14,Congo DRC,2015,0.4807051009627585
15,Congo DRC,2016,0.716695138529195
16,Congo DRC,2017,0.7664477578290877
17,Congo DRC,2018,0.7188876242133788
18,Congo DRC,2019,0.6409690886008461
19,Congo DRC,2020,0.6971550279720339
20,Congo DRC,2021,0.6676536360467158
